IPO 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,№,Компания,Тикер,Первый торговый день ,"Кол-во акций 
(млн)",Цена IPO,"Цена закрытия
 1-го дня","Текущая
цена","Доходность
(по итогам завершения
 lock up-периода)",Аллокация,"Количество прошедших
 дней с 1-го дня торгов",,"Текущая
цена","Результат на
текущую дату"
,1,Mission Produce Inc,AVO,01/10/2020,18.6,"$12,00","$13,80","$13,61","13,42%","21,00%",70,,"$13,61","13,42%"
,2,Pulmonox Corp,LUNG,01/10/2020,10,"$19,00","$39,31","$51,28","169,89%","2,00%",70,,"$51,28","169,89%"
,3,C4 Therapeutics Inc,CCCC,02/10/2020,8.8,"$19,00","$25,49","$30,53","60,68%","8,50%",69,,"$30,53","60,68%"
,4,Oncorus,ONCR,02/10/2020,5.8,"$15,00","$16,00","$26,60","77,33%","47,00%",69,,"$26,60","77,33%"
,5,"Spruce BioSciensec , Inc",SPRB,09/10/2020,6,"$15,00","$17,25","$21,49","43,27%","18,00%",62,,"$21,49","43,27%"
,6,"Kronos Bio, Inc",KRON,09/10/2020,13.2,"$19,00","$27,07","$30,94","62,84%","7,00%",62,,"$30,94","62,84%"
,7,"Shattuck Labs, Inc",STTK,09/10/2020,11.9,"$17,00","$19,35","$33,79","98,76%","29,00%",62,,"$33,79","98,76%"
,8,iHuman Inc,IH,09/10/2020,7.0,"$12,00","$16,00","$24,27","102,25%","17,00%",62,,"$24,27","102,25%"
,9,"Codiak BioSciences,Inc",CDAK,14/10/2020,5.5,"$15,00","$12,12","$15,61","4,07%","37,00%",57,,"$15,61","4,07%"
,10,MINISO Group Holding Limited,MNSO,15/10/2020,30.4,"$20,00","$20,88","$20,93","4,65%","34,00%",56,,"$20,93","4,65%"
,11,"ARRAY TECHNOLOGIES,INC",ARRY,15/10/2020,33.8,"$22,00","$36,45","$36,12","64,18%","10,00%",56,,"$36,12","64,18%"
,12,Datto Holding Corp,MSP,21/10/2020,22,"$27,00","$27,10","$25,64","-5,04%","27,50%",50,,"$25,64","-5,04%"
,13,McAfee Corp.,MCFE,22/10/2020,37,"$20,00","$18,70","$15,80","-21,00%","48,00%",49,,"$15,80","-21,00%"
,13,Foghorn Therapeutics Inc.,FHTX,23/10/2020,7.5,"$16,00","$18,12","$20,61","28,81%","18,00%",48,,"$20,61","28,81%"
,14,"ROOT, INC",ROOT,28/10/2020,24.2,"$27,00","$27,00","$14,07","-47,89%","29,00%",43,,"$14,07","-47,89%"
,15,MediaAlpha Inc,MAX,28/10/2020,9.3,"$19,00","$31,86","$37,10","95,26%","5,50%",43,,"$37,10","95,26%"
,16,Leslie's,LESL,29/10/2020,40.0,"$17,00","$21,70","$20,39","19,94%","13,50%",42,,"$20,39","19,94%"
,17,Atea Pharmaceuticals,AVIR,30/10/2020,11.0,"$24,00","$30,34","$27,77","15,71%","21,00%",41,,"$27,77","15,71%"
,18,lufax Holding,LU,30/10/2020,175,"$13,50","$12,85","$14,15","4,81%","58,00%",41,,"$14,15","4,81%"
,19,Telos Corporation,TLS,19/11/2020,15.0,"$17,00","$20,29","$19,80","16,47%","21,50%",21,,"$19,80","16,47%"
,20,Yatsen Holding Limited,YSG,19/11/2020,58.8,"$10,50","$18,40","$17,90","70,48%","11,30%",21,,"$17,90","70,48%"
,21,Maravai LifeSciences Holdings,MRVI,20/11/2020,60.0,"$27,00","$29,85","$24,50","-9,26%","42,00%",20,,"$24,50","-9,26%"
,22,Sotera Health Company,SHC,20/11/2020,46.6,"$23,00","$25,10","$25,56","11,13%","33,40%",20,,"$25,56","11,13%"
,23,Ozon Holdings PLC,OZON,24/11/2020,30.0,"$30,00","$40,10","$44,85","49,50%","29,00%",16,,"$44,85","49,50%"
,24,Kinnate BioPharma Inc,KNTE,03/12/2020,12.00,"$20,00","$39,03","$45,25","126,25%","5,50%",7,,"$45,25","126,25%"
,25,"Seer,Inc",SEER,04/12/2020,8.8,"$19,00","$56,46","$66,01","247,42%","9,00%",6,,"$66,01","247,42%"
,26,"Sigilon Therapeutics, Inc",SGTX,04/12/2020,7.0,"$18,00","$34,78","$28,12","56,22%","37,00%",6,,"$28,12","56,22%"
,27,"C3.ai,Inc",AI,09/12/2020,15.5,"$42,00","$98,48","$98,48","134,40%","6,50%",1,,"$98,45","134,40%"
,28,DoorDash Inc,DASH,09/12/2020,33.0,"$102,00","$189,51","$189,51","85,79%","17,00%",1,,"$189,51","85,79%"
,29,PubMatic,PUBM,09/12/2020,5.9,"$20,00","$29,45","$29,45","47,25%","31,00%",1,,"$29,45","47,25%"
,30,,,,,,,,,,,,,
,31,,,,,,,,,,,,,
,32,,,,,,,,,,,,,
,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Средняя доходность,Средняя аллокация,,,,
,,,,,,,,,"50,15%","23,18%",,,,
.,,,,,,,,,,,,,,
